Human;Mouse
TFAP4;Tfap4
SEPHS2;Sephs2
PPP1R15B;Ppp1r15b
BDKRB2;Bdkrb2
DDX1;Ddx1
COPZ1;Copz1
CDH1;Cdh1
UBE2V1;Ube2v1
KIAA1109;4932438A13Rik
PTPN13;Ptpn13
COPA;Copa
SGTA;Sgta
C4orf17;4930579F01Rik
CLIC5;Clic5
DDO;Ddo
NDRG2;Ndrg2
C11orf1;1110032A03Rik
TMEM9;Tmem9
PHF3;Phf3
PTGES;Ptges
ST3GAL1;St3gal1
ULK2;Ulk2
PSMD11;Psmd11
ARCN1;Arcn1
GNG11;Gng11
GSPT1;Gspt1
MCL1;Mcl1
TGFBR1;Tgfbr1
ZNF76;Zfp523
COPB2;Copb2
EFEMP1;Efemp1
PLAUR;Plaur
HPS3;Hps3
PSMC2;Psmc2
TFDP1;Tfdp1
PSMC6;Psmc6
RBBP6;Rbbp6
PRDX3;Prdx3
PLCG2;Plcg2
FARP1;Farp1
MAN2A2;Man2a2
SPOP;Spop
PPP1R8;Ppp1r8
CLK3;Clk3
TOPORS;Topors
SUPT5H;Supt5
DHRS3;Dhrs3
ZNF263;Zfp263
FAM46C;Fam46c
TPR;Tpr
TNFRSF21;Tnfrsf21
SLC38A1;Slc38a1
ACP6;Acp6
B3GNT4;B3gnt4
SIRT1;Sirt1
BANF1;Banf1
FMR1;Fmr1
ENAH;Enah
EPB41L4B;Epb41l4b
TNFSF13;Tnfsf13
CCNE1;Ccne1
SPAG1;Spag1
SS18L2;Ss18l2
DCTN6;Dctn6
EIF2S3;Eif2s3x
MAN1C1;Man1c1
TWSG1;Twsg1
NCL;Ncl
PSMC4;Psmc4
RXRB;Rxrb
CPNE3;Cpne3
ORMDL3;Ormdl3
NBEAL1;Nbeal1
CHRAC1;Chrac1
PITPNB;Pitpnb
SLC39A11;Slc39a11
TXNIP;Txnip
PEBP4;Pebp4
SLC16A12;Slc16a12
CGNL1;Cgnl1
PSMB4;Psmb4
IPO7;Ipo7
PSMB1;Psmb1
PSMB3;Psmb3
DCP1B;Dcp1b
CHCHD5;Chchd5
ATP5G3;Atp5g3
WSB2;Wsb2
USP31;Usp31
PPIH;Ppih
RPS16;Rps16
SALL4;Sall4
NEFH;Nefh
PSMB2;Psmb2
MC1R;Mc1r
DTL;Dtl
PLEK;Plek
EDAR;Edar
PSMA7;Psma7
PSMA3;Psma3
CDC6;Cdc6
PSMA1;Psma1
PSMA6;Psma6
PSMB5;Psmb5
PSMB6;Psmb6
SF3B3;Sf3b3
PPP4C;Ppp4c
COTL1;Cotl1
